"Name","Funding","City","Time of Techstar"
"Final","$110,000","Boulder","2014 Summer"
"Findit","$670,000","Chicago","2013 Spring"
"FitBark","$120,000","Sprint",2014
"FitCause","$20,000","Nike+ Accelerator",2013
"FitDeck Mobile","$20,000","Nike+ Accelerator",2013
"FlexMinder","$2,610,000","Seattle","2011 Fall"
"Flextrip","$360,000","Boulder","2011 Summer"
"Flinja","$20,000","Kaplan",2013
"Flomio","$610,000","Cloud","2012 Winter"
"Foodzie","$1,010,000","Bouler","2008 Summer"
"Footmarks","$1,620,000","R/GA",2012
"Fortified Bicycle","$10,000","Boston","2014 Fall"
"Fosbury","$300,000","Austin","2013 Fall"
"Freak'n Genius","$20,000","Microsoft Kinect",2012
"FreeTextbooks","$10,000","Austin","2014 Summer"
"Freight Farms","$4,900,000","Boston","2013 Spring"
"FullContact","$8,860,000","Boulder","2011 Summer"
"GameWisp","$110,000","Chicago","2014 Spring"
"Garmentory","$360,000","Seattle","2014 Fall"
"GeoPalz","$2,020,000","Nike+ Accelerator",2013
"GestSure","$520,000","Microsoft Kinect",2012
"Ginger.io","$8,200,000","Boston","2011 Spring"
"Given Goods Company","$470,000","Boulder","2013 Summer"
"Glider","$960,000","Seattle","2012 Fall"
"Glimr","$20,000","Barclays",2014
"GoChime","$1,200,000","Seattle","2011 Fall"
"GoMiles","$10,000","Seattle","2010 Fall"
"Gone!","$840,000","Austin","2013 Fall"
"Good Audience","$110,000","London","2014 Spring"
"GoodApril","$110,000","Boulder","2013 Summer"
"Good.Co","$1,580,000","Cloud","2013 Winter"
"GoRecess","$20,000","Nike+ Accelerator",2013
"GoSpotCheck","$3,440,000","Boulder","2011 Summer"
"GrabCAD","$13,420,000","Boston","2011 Spring"
"Graphicly","$5,260,000","Boulder","2009 Summer"
"Grockit","$0","Kaplan",2014
"Grove","$2,230,000","R/GA",2012
"GUST","$20,000","Barclays",2014
"Haiku Deck","$4,210,000","Seattle","2010 Fall"
"Hammerhead","$120,000","R/GA",2012
"HaveMyShift","$10,000","Boston","2009 Spring"
"Helloblock","$110,000","Boston","2014 Fall"
"Help Scout","$870,000","Boston","2011 Spring"
"HermesIQ","$110,000","Boston","2014 Winter"
"Heroic.ly","$20,000","Microsoft Azure",2013
"HighFive","$120,000","Nike+ Accelerator",2013
"Highlighter","$1,210,000","Seattle","2010 Fall"
"Hollerback","$430,000","NYC","2014 Spring"
"Hull","$110,000","Boulder","2013 Summer"
"Hullabalu","$3,510,000","NYC","2014 Spring"
"Ikkos","$0","Microsoft Kinect",2012
"ImpulseSave","$110,000","Boston","2012 Fall"
"IMRSV","$2,520,000","NYC","2011 Winter"
"InboxFever","$10,000","Boulder","2011 Summer"
"Incomparable Things Co.","$20,000","Nike+ Accelerator",2013
"indico","$3,130,000","Boston","2014 Fall"
"Infinit","$2,240,000","NYC","2014 Spring"
"inRentive","$10,000","Chicago","2014 Spring"
"Inside Social","$1,510,000","Seattle","2013 Fall"
"InstaGift","$10,000","Seattle","2010 Fall"
"IntenseDebate","$510,000","Boulder","2007 Summer"
"InvitedHome","$510,000","Boulder","2010 Summer"
"Jebbit","$1,860,000","Boston","2013 Spring"
"Jintronix","$2,760,000","Microsoft Kinect",2012
"Jogg","$120,000","Disney",2014
"Jukely","$3,570,000","NYC","2013 Spring"
"Kapost","$8,750,000","Boulder","2010 Summer"
"Kapta","$680,000","Boulder","2014 Summer"
"Karma","$1,890,000","NYC","2012 Summer"
"Kato","$1,860,000","Boulder","2013 Summer"
"KB Labs","$10,000","Boulder","2007 Summer"
"Keebitz","$0","Microsoft Azure",2012
"Keen Home","$1,640,000","R/GA",2012
"Keen.io","$14,330,000","Cloud","2012 Winter"
"Kimetric","$0","Microsoft Kinect",2012
"Kinvey","$17,880,000","Boston","2011 Spring"
"Klooff","$410,000","NYC","2013 Spring"
"Kytelabs","$20,000","R/GA",2012
"LangoLab","$10,000","Boston","2009 Spring"
"Lassy Project","$330,000","Boulder","2014 Summer"
"Laveem","$110,000","Boston","2012 Spring"
"LawnStarter","$210,000","Austin","2014 Summer"
"Lean Startup Machine","$1,610,000","NYC","2013 Spring"
"Leanplum","$5,930,000","Seattle","2012 Fall"
"Lea(R)n","$540,000","Kaplan",2014
"Libboo","$1,890,000","Boston","2012 Spring"
"Lifeline Response","$120,000","Sprint",2014
"Lingvist","$10,000","London","2014 Spring"
"LinkCycle","$110,000","Boston","2013 Spring"
"Linksy","$110,000","Seattle","2012 Fall"
"LiteStack","$110,000","Cloud","2013 Winter"
"Litographs","$600,000","Boston","2014 Winter"
"LiveStories","$110,000","Seattle","2014 Fall"
"Localytics","$23,110,000","Boston","2009 Spring"
"Lore","$6,010,000","NYC","2011 Summer"
"Loudcaster","$10,000","Boston","2010 Spring"
"Lua","$9,340,000","NYC","2012 Summer"
"Lumatic","$810,000","Boulder","2010 Summer"
"Lynxsy","$110,000","NYC","2014 Spring"
"MadKast","$310,000","Boulder","2007 Summer"
"Magicflix","$610,000","Seattle","2014 Fall"
"Magnet by Headtalk Inc","$110,000","Boston","2014 Fall"
"Magnific","$120,000","London","2014 Spring"
"Mailana","$0","Boulder","2009 Summer"
"MakersKit","$1,610,000","NYC","2014 Spring"
"Manctl","$20,000","Microsoft Kinect",2012
"Mapkin","$1,560,000","Boston","2014 Winter"
"Maptia","$110,000","Seattle","2012 Fall"
"Market IQ","$20,000","Barclays",2014
"MarketVibe","$110,000","Austin","2013 Fall"
"Marquee","$110,000","NYC","2012 Summer"
"MartMobi Technologies","$110,000","Chicago","2014 Spring"
"Mathify","$20,000","Kaplan",2013
"Matter.io","$110,000","NYC","2014 Spring"
"Mavrck","$3,270,000","Boston","2014 Fall"
"Meal Ticket","$2,540,000","Boulder","2011 Summer"
"Medicast","$1,210,000","Sprint",2014
"Memoir","$7,080,000","NYC","2011 Winter"
"Memrise","$5,210,000","Boston","2011 Spring"
"MentorMob","$20,000","Kaplan",2013
"MetricsHub","$20,000","Microsoft Azure",2012
"MightySignal","$110,000","Seattle","2014 Fall"
"MobilDevHQ","$860,000","Seattle","2012 Fall"
"MobIntent","$10,000","NYC","2011 Summer"
"Mocavo","$6,210,000","Boulder","2011 Summer"
"Modabound","$110,000","London","2013 Fall"
"modern guild","$1,770,000","Kaplan",2013
"Mogotest","$10,000","Boston","2010 Spring"
"Moni","$3,650,000","London","2013 Fall"
"Monkey Analytics","$10,000","Boston","2010 Spring"
"Mortar Data","$2,760,000","Boston","2012 Spring"
"Moveline","$5,740,000","NYC","2012 Summer"
"Murfie","$2,330,000","Boston","2012 Spring"
"MyBetterFit","$420,000","Boston","2012 Fall"
"Naritiv","$870,000","Disney",2014
"Native","$110,000","Boulder","2014 Summer"
"NBD Nano","$3,900,000","Boston","2012 Fall"
"NConnex","$20,000","Microsoft Kinect",2012
"Nestio","$3,860,000","NYC","2011 Winter"
"Neurala","$860,000","Boston","2013 Spring"
"Newsela","$7,620,000","Kaplan",2013
"Nexercise","$2,500,000","Chicago","2013 Spring"
"NexLP","$2,110,000","Chicago","2014 Spring"
"Next Big Sound","$7,960,000","Boulder","2009 Summer"
"Nextly","$2,350,000","Boston","2010 Spring"
"NextStep.io","$350,000","Nike+ Accelerator",2013
"NMRKT","$160,000","Austin","2014 Summer"
"Notion","$470,000","Boulder","2014 Summer"
"NoviCap","$20,000","Barclays",2014
"Nveloped","$110,000","Seattle","2012 Fall"
"Occipital","$7,010,000","Bouler","2008 Summer"
"OFunnel","$20,000","Microsoft Azure",2013
"ollo wearables","$120,000","Sprint",2014
"Oneforty","$1,980,000","Boston","2009 Spring"
"Onion Corporation","$110,000","Boston","2014 Winter"
"OnSwipe","$6,010,000","NYC","2011 Winter"
"OP3Nvoice","$10,000","London","2013 Fall"
"Orbotix","$33,160,000","Boulder","2010 Summer"
"Ordr.in","$1,690,000","NYC","2011 Summer"
"Osper","$8,310,000","London","2013 Fall"
"Outline","$960,000","Boston","2013 Spring"
"Outreach","$1,010,000","Seattle","2011 Fall"
"Overtime Media","$290,000","NYC","2011 Winter"
"Ovuline","$3,230,000","Boston","2012 Fall"
"Owlet","$1,970,000","R/GA",2012
"Package Zen","$110,000","Chicago","2014 Spring"
"Pact","$2,360,000","Boston","2012 Spring"
"PanOpen","$770,000","Kaplan",2013
"ParLevel Systems","$3,610,000","Cloud","2013 Winter"
"Pathful","$400,000","Chicago","2013 Spring"
"Pathgather","$1,610,000","NYC","2014 Spring"
"Paymins","$110,000","London","2013 Fall"
"Peerby","$2,160,000","London","2013 Fall"
"People's Software Company","$10,000","Bouler","2008 Summer"
"Perfect","$110,000","Seattle","2013 Fall"
"Pickie","$1,110,000","NYC","2012 Summer"
"Piictu","$740,000","NYC","2011 Summer"
"PillPack","$12,910,000","Boston","2013 Spring"
"Pivot Freight","$2,370,000","Austin","2014 Summer"
"PivotDesk","$7,610,000","Boulder","2012 Summer"
"Placemeter","$7,670,000","NYC","2013 Spring"
"Placester","$7,390,000","Boston","2011 Spring"
"Plated","$21,460,000","NYC","2013 Spring"
"PlayCanvas","$480,000","London","2013 Fall"
"PlayQ","$10,000","Boulder","2007 Summer"
"Plum","$110,000","Austin","2013 Fall"
"Poptip","$730,000","NYC","2012 Summer"
"Postmaster","$910,000","Cloud","2013 Winter"
"Precog","$3,560,000","Boulder","2011 Summer"
"Prediculous","$110,000","Boulder","2013 Summer"
"Prime","$110,000","Sprint",2014
"Prism","$1,020,000","Microsoft Azure",2012
"Progress Innovation","$10,000","Boston","2010 Spring"
"Project Fixup","$110,000","Chicago","2013 Spring"
"Promoboxx","$2,360,000","Boston","2011 Spring"
